sinal_id,pilar,nome,definicao,formula,grupo_comparacao,limiar,limiar_sentido,limiar_origem,severidade,peso,materialidade,persistencia_min_meses,tipo_evidencia,explicacoes_benignas,acao_investigacao,n_grupo_comparacao,n_avaliavel,n_avaliavel_e_material,n_universo,cobertura_universo_pct,n_veiculos_disparo,n_veiculos_disparo_persistente
ES-05,2. Estrutura e subordinação,Rentabilidade negativa na cota sênior,Pior rentabilidade mensal entre as séries sêniores abaixo do p5 do mercado — a classe que deveria estar protegida absorveu perda.,rent_sen_min = MIN(TAB_X_VL_RENTAB_MES onde TIPO_COTA='senior'),Veículos com série sênior efetivamente emitida (VL_SERIE > 0),-3.561999999999999,<=,"p5 da distribuição observada no grupo de comparação em 2026-06-30 (n=1733, mediana=1.25); dispara <=",alta,6,PL >= R$ 50 mi,2,observado,Série sênior indexada a IPCA ou a ativo marcado a mercado tem rentabilidade nominal negativa em mês de fechamento de curva sem qualquer perda de crédito. Séries em amortização com ajuste de marcação também apresentam meses negativos.,Ver se a queda é isolada (marcação) ou persistente (perda de crédito) e se a subordinada já foi zerada — sênior negativa com subordinada positiva no mesmo mês é anomalia de cascata.,1733,3160,1733,4327,73.03,87,13
CN-01,3. Concentração,Cedente único dominante,"Maior percentual declarado de um único cedente (tab I) no p90 ou acima do mercado: o fundo é, na prática, um veículo de um originador só.","pr_max = MAX(PR_CEDENTE) por veículo, com PR_CEDENTE em [0,100]",Veículos que declaram ao menos um cedente com percentual válido,98.836,>=,"p90 da distribuição observada no grupo de comparação em 2026-06-30 (n=743, mediana=53.78); dispara >=",média,3,DC >= R$ 50 mi,3,observado,"FIDC corporativo monocedente (fornecedores de uma indústria, financeira do próprio grupo) é a estrutura padrão do segmento e plenamente lícita. O que o sinal mede é dependência, não conduta.","Avaliar a solidez do cedente (rating, balanço) e a existência de coobrigação: concentração em cedente sólido é risco de crédito corporativo; em cedente frágil, é risco de fraude de lastro.",743,1718,743,4327,39.7,75,46
CN-02,3. Concentração,Índice HHI de cedentes no topo,"Herfindahl-Hirschman calculado sobre os percentuais declarados dos até nove cedentes informados, no p90 ou acima.","hhi_ced = SUM(PR_CEDENTE^2) sobre PR_CEDENTE em [0,100]",Veículos que declaram cedentes com percentual válido,9774.09064,>=,"p90 da distribuição observada no grupo de comparação em 2026-06-30 (n=743, mediana=3752); dispara >=",média,3,DC >= R$ 50 mi,3,derivado,"O informe só exige os nove maiores cedentes: um fundo pulverizado que declara apenas os nove maiores tem HHI subestimado, e um fundo monocedente tem HHI corretamente máximo. O viés é conservador, mas existe. Fundo cativo de grupo econômico é HHI 10.000 por desenho.","Confrontar com a cobertura declarada (soma dos percentuais): HHI alto com soma perto de 100% é concentração real; com soma baixa, é artefato do recorte top-9.",743,1718,743,4327,39.7,75,45
CN-03,3. Concentração,Base de cotistas mínima em veículo de porte,"Até dois cotistas somados em todas as séries, num veículo com PL acima do p75 do mercado — não há verificação de preço por terceiros.",n_cotistas = SUM(TAB_X_NR_COTST) por veículo (tab X.1),Todos os veículos com número de cotistas informado,2.0,<=,"limiar fixo 2 (<=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=1084)",média,3,PL >= R$ 156 mi (p75 do mercado),3,observado,"FIDC exclusivo de tesouraria de um banco, de uma seguradora ou de uma EFPC tem legitimamente um cotista. FIC-FIDC master-feeder também tem cotista único (o feeder). Nada disso é irregular.",Verificar se o cotista único é parte relacionada ao cedente (GV-01): cotista único INDEPENDENTE do originador é estrutura de tesouraria; cotista único LIGADO é veículo espelho do próprio originador.,1084,4327,1084,4327,100.0,319,298
CN-04,3. Concentração,Carteira monossegmento,"Um único segmento econômico (tab II, categorias A a K) responde por praticamente toda a carteira segmentada.",mono_seg = MAX(TAB_II_[A..K]) / SUM(TAB_II_[A..K]),Veículos com carteira segmentada (tab II) > 0,0.999,>=,"limiar fixo 0.999 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=606)",baixa,1,DC >= R$ 200 mi,3,derivado,"Praticamente todo FIDC é temático por regulamento: agro, consignado, veículos, judicial. Monossegmento é a regra do mercado, não a exceção — por isso a severidade é baixa e o sinal só serve combinado a outros do mesmo pilar.",Usar apenas como contexto para interpretar QA-01 e JR-03; isoladamente não justifica diligência.,606,3235,606,4327,74.76,433,389
CN-05,3. Concentração,Ativo composto quase inteiramente por cotas de outros FIDCs,Cotas de FIDC e de FIDC-NP (I.2.H + I.2.I) acima do p95 da razão sobre o ativo total — circularidade intramercado.,circ = (TAB_I2H_VL_COTA_FIDC + TAB_I2I_VL_COTA_FIDC_NP) / TAB_I_VL_ATIVO,Veículos com ativo total > 0,0.9968472480623022,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=2159, mediana=0); dispara >=",baixa,1,PL >= R$ 50 mi,3,observado,"FIC-FIDC é uma categoria regulada e comum: investir só em cotas de FIDC é exatamente o mandato. O sinal serve para medir DUPLA CONTAGEM de PL no agregado do mercado, e só vira alerta quando o fundo detido é do mesmo grupo (aí é CN-05 + GV-01).",Rastrear os FIDCs detidos via CDA (bloco BLC_2) e verificar se emissor e detentor pertencem ao mesmo grupo (flag EMISSOR_LIGADO).,2159,4174,2159,4327,96.46,108,77
GV-01,4. Governança e conflitos,Cotista de interesse em fundo não exclusivo com base pulverizada,O administrador declara existência de cotista com relação de interesse (COTST_INTERESSE='S') num fundo que NÃO é exclusivo e que tem base de cotistas relevante — parte relacionada convivendo com investidores de fora.,COTST_INTERESSE='S' AND FUNDO_EXCLUSIVO='N' AND n_cotistas >= 10,Veículos com as flags de interesse e exclusividade preenchidas,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,PL >= R$ 50 mi,3,observado,Gestor que investe capital próprio na subordinada é considerado ALINHAMENTO de interesses pelo mercado (skin in the game) e é prática recomendada. Sponsor que retém a subordinada por exigência de rating cai no mesmo caso.,"Identificar QUAL classe a parte relacionada detém: subordinada = alinhamento; sênior comprada de si mesmo, ou subordinada mínima com sênior vendida ao varejo = conflito.",2159,4327,2159,4327,100.0,26,22
GV-02,4. Governança e conflitos,Gestor e administrador na mesma pessoa jurídica,CNPJ do gestor idêntico ao CNPJ do administrador no registro CVM: acumulação das funções de decisão de investimento e de controle.,cnpj_gestor = CNPJ_ADMIN (registro_fundo x tab I),Veículos com gestor e administrador identificados no registro,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,média,3,PL >= R$ 50 mi,3,observado,"A RCVM 175 permite a administração fiduciária e a gestão pela mesma instituição, com segregação interna (chinese wall). Grandes bancos operam assim há décadas sem qualquer irregularidade.",Verificar se há custodiante e controlador independentes (GV-05) — a acumulação só é preocupante quando TODAS as funções de controle estão no mesmo grupo.,2157,4279,2157,4327,98.89,24,24
GV-03,4. Governança e conflitos,Troca de administrador nos últimos 12 meses,CNPJ do administrador informado na tab I difere do informado 12 competências antes.,CNPJ_ADMIN(t) != CNPJ_ADMIN(t-12m),Veículos com CNPJ_ADMIN informado em t e em t-12m,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,baixa,1,PL >= R$ 50 mi,1,observado,"Consolidação do setor de administração fiduciária, migração societária e reorganização de grupo produzem trocas em massa sem qualquer conteúdo de risco. Troca pode até ser SAUDÁVEL quando o administrador anterior está sob medida do regulador.",Só é relevante em conjunto: troca de administrador + queda de PL (IC-04) + salto de inadimplência (QA-02) no mesmo semestre.,1768,3232,1768,4327,74.69,223,223
GV-04,4. Governança e conflitos,Vínculo nominal com grupo alcançado por medida do BCB/CVM,"Denominação do veículo, do administrador ou do gestor contém a marca de grupo econômico objeto de liquidação extrajudicial ou regime especial noticiado em fonte pública.",UPPER(DENOM_SOCIAL || ADMIN || Gestor) LIKE qualquer termo da lista curada GRUPOS_MEDIDA,Todos os veículos com denominação informada,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,sem porte mínimo,1,observado,"Casamento por STRING é grosseiro: 'MASTER' aparece em razões sociais sem qualquer relação com o Banco Master. A troca do prestador já ocorrida não altera a denominação histórica do veículo. O sinal é uma PISTA de busca, jamais uma imputação.",Confirmar o vínculo societário no registro CVM e nos atos do BCB antes de qualquer uso; descartar homonímias uma a uma.,4327,4327,4327,4327,100.0,47,47
GV-05,4. Governança e conflitos,Auditor independente ou custodiante ausente no registro,Registro da classe (RCVM 175) sem auditor independente ou sem custodiante identificado — falha nos controles obrigatórios.,Auditor IS NULL OR Custodiante IS NULL (registro_classe),Veículos com registro de classe localizado,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,média,3,PL >= R$ 50 mi,3,observado,Defasagem do cadastro é a explicação mais provável: o prestador existe e o campo não foi atualizado. Classes em fase pré-operacional legitimamente ainda não contrataram auditor.,Confirmar contra o formulário de informações periódicas e as demonstrações financeiras auditadas do exercício antes de tratar como ausência real.,2157,4282,2157,4327,98.96,53,47
DI-01,5. Integridade dos dados e reportes,Percentuais de cedentes inconsistentes,"Soma dos percentuais declarados de cedentes acima de 100,5%, ou existência de percentual fora do intervalo [0,100].",pr_soma > 100.5 OR n_ced_invalido > 0,Veículos que declaram ao menos um cedente,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,média,3,DC >= R$ 50 mi,1,observado,"Alguns administradores preenchem o campo com o VALOR cedido em reais em vez do percentual, ou declaram percentual por bucket (com risco e sem risco) que soma mais de 100 quando agregado. É erro de preenchimento, não de conduta — mas invalida o dado.",Excluir o veículo das estatísticas de concentração por cedente e pedir reapresentação do informe.,826,1913,826,4327,44.21,112,112
DI-02,5. Integridade dos dados e reportes,Divergência entre direitos creditórios da tab I e das tabs V/VI,"Distância relativa entre o estoque de DC do balanço (tab I) e o somatório por prazo de vencimento (tabs V e VI), acima do p95.",desc_tabV = |dc_tabI - (V_A+V_B+VI_A+VI_B)| / dc_tabI,Veículos com DC (tab I) >= R$ 50 mi,0.4017465666657221,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=1533, mediana=0.0005475); dispara >=",média,3,DC >= R$ 50 mi,3,derivado,"A tab I reporta VALOR CONTÁBIL (líquido de ajuste a valor presente e de provisão) e as tabs V/VI reportam o FLUXO NOMINAL a vencer. Em carteiras de longo prazo com desconto relevante, a diferença é aritmética e esperada, não erro.","Estimar a taxa de desconto implícita na diferença: se ela for compatível com o prazo médio da carteira, é ajuste a valor presente; se não for, é inconsistência de reporte.",1533,1533,1533,4327,35.43,77,62
DI-03,5. Integridade dos dados e reportes,Cedentes não declarados em carteira de direitos creditórios material,"Nenhum cedente com percentual válido informado na tab I, apesar de o veículo carregar estoque relevante de direitos creditórios: o pilar de concentração fica cego para esse veículo.","pr_max IS NULL (nenhum PR_CEDENTE em [0,100] declarado) com dc_tabI >= R$ 200 mi",Veículos com DC (tab I) >= R$ 200 mi,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,baixa,1,DC >= R$ 200 mi,3,observado,"A não declaração é ENDÊMICA — cerca de 57% dos veículos com DC acima de R$ 200 mi não informam cedente válido no corte. Por isso o sinal discrimina pouco entre veículos e recebe severidade baixa: ele documenta uma lacuna do informe mensal, não um desvio individual. FIDC que compra crédito originado por si (crédito direto) pode legitimamente não ter cedente terceiro a declarar.","Tratar como marcador de NÃO AVALIABILIDADE do pilar 3 para o veículo, e buscar a concentração por outra via (regulamento, relatório do custodiante, CDA).",606,606,606,4327,14.01,347,288
DI-04,5. Integridade dos dados e reportes,Soma das séries de cotas incompatível com o patrimônio líquido,Somatório de quantidade x valor da cota de todas as séries (tab X.2) distante do PL da tab IV além do p99 do mercado.,ser_vs_pl = |SUM(TAB_X_QT_COTA * TAB_X_VL_COTA) - VL_PL| / VL_PL,Veículos com PL > 0 e séries informadas,0.10533478935286547,>=,"p99 da distribuição observada no grupo de comparação em 2026-06-30 (n=3424, mediana=3.982e-12); dispara >=",média,3,PL >= R$ 10 mi,2,derivado,"Amortização declarada entre a data da cota e o fechamento, ou séries encerradas ainda listadas, produzem descolamento temporário. Erro de arredondamento em fundos com cota de valor muito alto também aparece.","Reconciliar série a série com a tab X.4 (captações, amortizações e resgates) do mesmo mês.",3424,4138,3424,4327,95.63,35,11
DI-05,5. Integridade dos dados e reportes,Lacuna de reporte na série mensal,Competência sem informe entre a primeira e a última competência observadas do veículo na janela de 25 meses — descontinuidade que não se explica por entrada ou saída do universo.,mês ausente com ord_ini < ord < ord_fim na grade CNPJ x competência,Todos os veículos do painel canônico,1.0,>=,"limiar fixo 1 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=3424)",média,3,PL >= R$ 10 mi,1,observado,"Reapresentação de informe fora do zip da competência, migração fundo->classe na adaptação à RCVM 175 e mudança de CNPJ informante geram lacuna aparente sem inadimplemento de dever.",Conferir o CNPJ da classe e do fundo no mapa de adaptação antes de tratar como falta de entrega.,3424,4327,3424,4327,100.0,50,50
DI-06,5. Integridade dos dados e reportes,Carteira estagnada ao centavo por três meses ou mais,Valor da carteira (tab I.2) idêntico ao centavo em três ou mais competências consecutivas — indício de reporte repetido em vez de reapurado.,carteira(t) = carteira(t-1) por >= 3 meses consecutivos,Veículos com carteira > 0 informada,3.0,>=,"limiar fixo 3 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=3431)",média,3,carteira >= R$ 10 mi,1,observado,"Fundo com carteira única de um contrato longo, sem amortização no período, legitimamente reporta o mesmo valor. Ativo bloqueado por decisão judicial também congela o saldo.",Verificar se PL e rentabilidade também estão congelados: carteira parada com PL variando é convivência normal; tudo parado é reporte automático não reapurado.,3431,4146,3431,4327,95.82,45,45
DI-07,5. Integridade dos dados e reportes,Componentes do ativo excedem a carteira declarada,"Soma dos componentes identificáveis da carteira (DC com e sem risco, cotas de FIDC, valores mobiliários, títulos públicos, CDB) maior que a carteira total informada — impossibilidade aritmética.",(I2A + I2B + I2H + I2I + I2C + I2D + I2E) > 1.005 * TAB_I2_VL_CARTEIRA,Veículos com carteira (tab I.2) > 0,1.005,>=,"limiar fixo 1.005 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=3431)",alta,6,carteira >= R$ 10 mi,1,derivado,"Dupla classificação de um mesmo ativo em duas rubricas (por exemplo, cota de FIDC contabilizada também como valor mobiliário) explica excedentes pequenos. Acima de poucos por cento, não há explicação contábil.",Solicitar a composição analítica da carteira ao administrador e conciliar rubrica a rubrica.,3431,4146,3431,4327,95.82,6,6
JR-01,6. Risco judicial e regulatório,Créditos em ação judicial de cobrança relevantes,Valor de direitos creditórios em ação judicial (I.2.A.8) material em termos absolutos — a recuperação depende do Judiciário.,TAB_I2A8_VL_CRED_ACAO_JUDIC >= R$ 5 mi,Veículos que reportam valor positivo no campo I.2.A.8,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,créditos em ação judicial >= R$ 5 mi,2,observado,"Cobrança judicial é a etapa NORMAL do ciclo de recuperação de qualquer carteira de crédito madura; sua ausência é que seria estranha. O campo é preenchido por menos de 1% dos veículos, logo o sinal mede tanto litígio quanto disposição a reportar.",Comparar o valor em ação judicial com a provisão já constituída e com o estoque vencido acima de 360 dias (QA-05).,36,39,36,4327,0.9,36,34
JR-02,6. Risco judicial e regulatório,Carteira concentrada em créditos judiciais e precatórios,Créditos judiciais (tab II.J) somados a precatórios (tab II.I.1) acima do p90 da razão sobre a carteira segmentada.,jud_seg = (TAB_II_J_VL_JUDICIAL + TAB_II_I1_VL_PRECAT) / TAB_II_VL_CARTEIRA,Veículos com carteira segmentada (tab II) > 0,0.9172193898000603,>=,"p90 da distribuição observada no grupo de comparação em 2026-06-30 (n=1642, mediana=0); dispara >=",baixa,1,carteira segmentada >= R$ 50 mi,3,observado,"FIDC-NP de precatórios e de crédito judicial é categoria regulada, destinada a investidor profissional, e sua carteira É judicial por definição. O sinal descreve o mandato, não um desvio.","Tratar como marcador de SEGMENTO para escolher o grupo de comparação correto nos demais sinais, principalmente QA-01 e QA-05.",1642,3235,1642,4327,74.76,165,147
JR-03,6. Risco judicial e regulatório,Classificação SCR concentrada em faixas E a H,Parcela das operações reportadas ao SCR classificadas entre E e H (Res. CMN 2.682) acima do p95 do mercado.,scr_eh = (E+F+G+H) / (AA+A+B+C+D+E+F+G+H) sobre TAB_X_SCR_RISCO_OPER_*,Veículos com DC >= R$ 50 mi e bloco X.8 preenchido (total > 0),0.14966251315747137,>=,"p95 da distribuição observada no grupo de comparação em 2026-06-30 (n=832, mediana=0); dispara >=",alta,6,DC >= R$ 50 mi,3,observado,"O bloco X.8 cobre apenas crédito de origem financeira rastreável no SCR: duplicatas mercantis, precatórios e crédito judicial ficam de fora por construção, e um fundo com pouca base no SCR pode ter percentual E-H alto sobre uma amostra pequena e não representativa.",Checar a razão entre o total classificado no SCR e o DC do fundo: percentual E-H sobre menos de 20% da carteira não é conclusivo.,832,832,832,4327,19.23,42,18
JR-04,6. Risco judicial e regulatório,Classe ou fundo em liquidação com patrimônio relevante,"Situação cadastral 'Em Liquidação' no registro CVM da classe ou do fundo, com PL ainda material.",registro_classe.Situacao = 'Em Liquidação' OR registro_fundo.Situacao = 'Em Liquidação',Veículos com registro CVM localizado,1.0,>=,ocorrência binária: não há distribuição contínua a percentilar,alta,6,PL >= R$ 10 mi,1,observado,Liquidação ORDINÁRIA por decurso de prazo do regulamento é o encerramento normal de um FIDC de prazo determinado e não indica problema algum. O registro não distingue liquidação ordinária de liquidação por deliberação de assembleia em crise.,Ler a ata de assembleia que deliberou a liquidação e verificar se a amortização das sêniores está sendo honrada no cronograma.,3422,4282,3422,4327,98.96,51,51
JR-05,6. Risco judicial e regulatório,Débito tributário declarado relevante,Campo de débito tributário do bloco X.8 positivo e acima de 1% do patrimônio líquido.,"TAB_X_DEBITO_TRIBUT / VL_PL >= 0.01, com TAB_X_DEBITO_TRIBUT > 0",Veículos com PL > 0 e campo de débito tributário preenchido,0.01,>=,"limiar fixo 0.01 (>=) — ancorado em definição contábil/regulatória, não em percentil (grupo de comparação com n=63)",média,3,PL >= R$ 10 mi,2,observado,"A semântica do campo é ambígua no leiaute: em vários informes o valor excede o próprio PL, o que sugere que parte dos administradores reporta o ESTOQUE DE CRÉDITOS COM DÉBITO TRIBUTÁRIO associado, e não uma obrigação do fundo. Enquanto a ambiguidade não for resolvida, o sinal mede reporte, não passivo.",Confirmar o significado do campo com o administrador e contra as demonstrações financeiras antes de qualquer uso — este sinal NÃO deve ser usado isoladamente.,63,69,63,4327,1.59,53,53
